Title	URL	Status	Sprint	Task Type	Nature	Epic	Assignees	Estimated Time	Linked pull requests	Priority
User can track activity		Product Backlog			User Story	Tracking				
User can see friend's recent activities		Product Backlog			User Story	Tracking				
Discover Page for Outdoor Activities with Detailed Listings		Done in Sprint 6	Sprint 6	Frontend + backend	User Story	Activities Interactivity				
Community System		Done in Sprint 6	Sprint 6	Frontend + backend	User Story	Social				
Improve the sign-in process so that it integrates the DB and store preferences into it		Done in Sprint 6	Sprint 6	Frontend + backend	User Story	Authentication				
The app will also develop a user rating and review system for activities		Sprint Backlog		Backend	User Story	Activities Interactivity				
Users can now sort activities by difficulty, distance and rating		Sprint Backlog	Sprint 7	Backend	User Story	Social				Interesting to have
Users can use a part of the app while offline		Sprint Backlog	Sprint 7	Backend	User Story	Offline mode				Important
Users can track their activities		Sprint Backlog	Sprint 7		User Story	Tracking				TOP
User's can see stats about activitities they've done		Sprint Backlog	Sprint 7	Frontend + backend	User Story	Tracking				TOP
Users can see friends activity and their stats		Sprint Backlog	Sprint 7		User Story	Tracking				TOP
Users receive notifications about weather reports/friend activities		Sprint Backlog		Frontend	User Story	User's experience (UX/UI)				
Outdoor activities come from both API and DB		Done in Sprint 6	Sprint 6	Backend	User Story	Activities Interactivity				TOP
Dark Mode Integration		Done in Sprint 4	Sprint 4	Frontend	User Story					
Link filter options with the user's preferences and activities	https://github.com/LASTA-OUTDOOR/lasta/issues/176	Done in Sprint 6	Sprint 6	Backend	Sprint Task	Activities Interactivity	Thimphou	5h	https://github.com/LASTA-OUTDOOR/lasta/pull/223	TOP
Weather Suggestions		Done in Sprint 6	Sprint 6	Backend	User Story	Activities Interactivity				TOP
Public transport schedule		Product Backlog		Backend	User Story					
Group Feature		Product Backlog		Backend	User Story					
Language support		Done in Sprint 5	Sprint 5	Backend	User Story	Users				
Integration with Wearable Devices		Product Backlog		Backend	User Story					
Augmented Reality (AR) Features		Product Backlog		Backend	User Story					
Sustainable Travel Tips and Eco-Challenges		Product Backlog		Backend	User Story					
Link with other sportive apps		Product Backlog		Backend	User Story					
Immersive customizable UI		Product Backlog		Frontend	User Story					
Battery saving mode		Product Backlog		Backend	User Story					
